station_id,station_name,county_name,town_name,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_m
C0S750,向陽,臺東縣,海端鄉,23.25,120.978056,23.248397,120.986133,844.2225293635715
C0R490,九如,屏東縣,九如鄉,22.742278,120.4825,22.7405,120.490503,844.18903072565
C0C480,桃園,桃園市,桃園區,24.994256,121.315044,24.992425,121.323172,844.0809617029399
C0S770,大溪山,臺東縣,太麻里鄉,22.48,120.935278,22.478475,120.943325,844.0082131260394
C0R480,長治,屏東縣,長治鄉,22.694833,120.534611,22.693128,120.542622,843.4017199522046
C0V700,三民,高雄市,三民區,22.646917,120.303278,22.645017,120.311233,843.2527874326349
C0E820,獅潭,苗栗縣,獅潭鄉,24.541028,120.911972,24.539133,120.920042,843.0450062001958
C0D560,竹東,新竹縣,竹東鎮,24.76925,121.049861,24.767147,121.057881,842.837366027943
C0V610,梓官,高雄市,梓官區,22.762444,120.25925,22.760558,120.267211,842.7931913058445
C0UB90,太平山莊,宜蘭縣,大同鄉,24.4959,121.5281,24.494171,121.536209,842.7486221021089
C0V720,林園,高雄市,林園區,22.509583,120.386556,22.507747,120.394511,842.2875485523556
CAL100,西濱S267K,嘉義縣,東石鄉,23.417568,120.15477,23.41613,120.162872,842.0226499074221
C0R520,崁頂,屏東縣,崁頂鄉,22.516639,120.498972,22.514781,120.506914,841.5489037721671
C0F9O0,潭子,臺中市,潭子區,24.21475,120.695833,24.213106,120.703933,841.5326236359139
468100,東沙島,高雄市,旗津區,20.70252,116.722116,20.700856,116.73,840.6727012412719
C0X110,臺南市南區,臺南市,南區,22.963028,120.180417,22.961189,120.188378,840.3399794413479
C0V530,阿蓮,高雄市,阿蓮區,22.884944,120.319528,22.883208,120.327508,839.9778180568802
C0A950,鼻頭角,新北市,瑞芳區,25.130833,121.915278,25.129036,121.923372,838.9656843681506
C0FA60,鞍馬山工作站,臺中市,和平區,24.2681,120.9926,24.267064,121.000793,838.4698913013385
72D680,桃改新埔分場,新竹縣,新埔鎮,24.836,121.058,24.834444,121.066111,836.5808648947745
C0G820,田尾,彰化縣,田尾鄉,23.903417,120.501389,23.901669,120.509389,836.1714938521528
C0X160,仁德,臺南市,仁德區,22.970111,120.249778,22.968258,120.257689,835.7169230763498
C0E730,頭份,苗栗縣,頭份市,24.69,120.904167,24.688247,120.912206,835.2463300931129
C0R440,大漢山,屏東縣,春日鄉,22.405861,120.745083,22.405264,120.753181,835.1227498237777
C0E850,大河,苗栗縣,三灣鄉,24.619833,120.94055,24.618069,120.948578,834.895674009144
C0F9I0,神岡,臺中市,神岡區,24.274222,120.650306,24.272481,120.658314,834.4940449495609
C0Z080,富源,花蓮縣,光復鄉,23.58975,121.370389,23.587642,121.378225,832.2093875869268
C0X100,臺南市北區,臺南市,北區,23.012167,120.186333,23.010394,120.194228,831.7320775343873
C0X130,官田,臺南市,官田區,23.195028,120.307528,23.193217,120.315422,831.578007647086
469020,南沙島,高雄市,旗津區,10.372116,114.356938,10.370203,114.364286,831.3843918843988
C0X150,安定,臺南市,安定區,23.104417,120.219972,23.102614,120.227839,829.2128240064751
C0S660,下馬,臺東縣,海端鄉,23.152222,121.062222,23.150194,121.070025,829.0405677777761
C2H950,中寮,南投縣,中寮鄉,23.886278,120.758528,23.884447,120.766406,826.4424404375982
C2A920,富貴角,新北市,石門區,25.265556,121.557278,25.263783,121.565258,826.3212400489422
C0O980,新市,臺南市,新市區,23.063556,120.290417,23.061614,120.298197,824.7278596230343
C0F9U0,南屯,臺中市,南屯區,24.138861,120.630111,24.137006,120.637969,823.617384526652
C0U780,五結,宜蘭縣,五結鄉,24.688722,121.790222,24.686369,121.797944,822.8701872796212
C0S740,池上,臺東縣,池上鄉,23.121389,121.201667,23.119628,121.209469,821.5400387890433
C0R140,瑪家,屏東縣,瑪家鄉,22.684722,120.678889,22.682903,120.686639,820.4243511755149
C2F9A0,中竹林,臺中市,太平區,24.105556,120.743333,24.103556,120.751061,815.3005251556453
C0O900,善化,臺南市,善化區,23.114444,120.289444,23.112883,120.297219,813.8668811307716
C2A880,福隆,新北市,貢寮區,25.019167,121.934167,25.017842,121.942083,811.1223171743667
C0UB60,明池,宜蘭縣,大同鄉,24.6506,121.4673,24.650688,121.475277,806.2268769799161
C0G810,埔心,彰化縣,埔心鄉,23.948694,120.517611,23.947633,120.525456,805.9106772826584
C2G840,北斗,彰化縣,北斗鎮,23.879222,120.506528,23.877586,120.514222,803.1782296981332
C0C690,國一五楊N44K,桃園市,龜山區,25.065633,121.332769,25.063861,121.340164,770.4722174096806
C2F860,梨山,臺中市,和平區,24.245,121.237667,24.247522,121.243669,670.0300348334279
C0S810,東河,臺東縣,東河鄉,22.973611,121.298333,22.972672,121.303986,588.073899131666
C0F9Z0,雪山東峰,臺中市,和平區,24.390581,121.263286,24.388792,121.268675,580.8774458332432
