避難收容處所名稱,縣市及鄉鎮市區,經度,緯度,is_indoor,nearest_station,nearest_aqi,distance_km,risk_label
臺南市下營區下營國小活動中心,臺南市下營區,120.2606,23.2322,True,新營,74,10.01,Normal
臺南市學甲區慈濟宮,臺南市學甲區,120.1805,23.2335,True,新營,74,16.11,Normal
臺南市六甲區水林里活動中心,臺南市六甲區,120.3466,23.2335,True,新營,74,8.56,Normal
臺南市下營區大屯社區活動中心,臺南市下營區,120.2388,23.2343,True,新營,74,11.28,Normal
臺南市下營區下營上帝廟,臺南市下營區,120.26102,23.235185,False,新營,74,9.71,Warning
烏石鼻社區活動中心,臺東縣長濱鄉,121.413271,23.235256,True,關山,24,33.28,Normal
臺南市六甲區菁埔里活動中心,臺南市六甲區,120.3025,23.2359,True,新營,74,7.9,Normal
臺南市六甲區中社里活動中心,臺南市六甲區,120.3258,23.237,True,新營,74,7.68,Normal
臺南市學甲區學甲國小體育館,臺南市學甲區,120.1745,23.2378,True,新營,74,16.42,Normal
臺南市北門區東隆宮,臺南市北門區,120.1121,23.2385,True,新營,74,22.25,Normal
臺南市下營區下營國中活動中心,臺南市下營區,120.2715,23.2387,True,新營,74,8.79,Normal
臺南市六甲區林鳳國小,臺南市六甲區,120.3257,23.239,True,新營,74,7.46,Normal
臺南市下營區下營地區民眾活動中心,臺南市下營區,120.2625,23.2418,True,新營,74,9.04,Normal
寧埔國民小學,臺東縣長濱鄉,121.414152,23.244341,True,關山,24,34.0,Normal
長濱聯合村辦公處,臺東縣長濱鄉,121.416268,23.244736,True,關山,24,34.19,Normal
寧埔社區活動中心,臺東縣長濱鄉,121.416268,23.244736,True,關山,24,34.19,Normal
竹湖國民小學,臺東縣長濱鄉,121.416268,23.244736,True,關山,24,34.19,Normal
樟原國民小學,臺東縣長濱鄉,121.416268,23.244736,True,關山,24,34.19,Normal
臺南市學甲區中洲國小禮堂,臺南市學甲區,120.1599,23.2451,True,新營,74,17.43,Normal
臺南市下營區紅厝社區活動中心,臺南市下營區,120.2671,23.2455,True,新營,74,8.42,Normal
光榮社區活動中心,臺東縣長濱鄉,121.413361,23.247318,True,關山,24,34.15,Normal
西興村活動中心,嘉義縣大埔鄉,120.5732,23.2491,True,新營,74,26.89,Normal
臺南市六甲區龜港里活動中心,臺南市六甲區,120.3084,23.2499,True,新營,74,6.26,Normal
臺南市下營區甲中里活動中心,臺南市下營區,120.274,23.2504,True,新營,74,7.57,Normal
萬寧社區活動中心,花蓮縣富里鄉,121.2982,23.251,True,關山,24,26.8,Normal
八桑安社區社活動中心,臺東縣長濱鄉,121.418162,23.253252,True,關山,24,34.96,Normal
臺南市下營區賀建國小活動中心,臺南市下營區,120.2969,23.2541,True,新營,74,6.1,Normal
臺南市鹽水區?頭港國小,臺南市鹽水區,120.2498,23.2557,True,新營,74,8.85,Normal
臺南市柳營區果毅後多功活動中心廣場,臺南市柳營區,120.3672,23.2571,False,新營,74,7.43,Warning
臺南市柳營區果毅後多功活動中心,臺南市柳營區,120.3672,23.2571,True,新營,74,7.43,Normal
臺南市柳營區果毅國小運動場,臺南市柳營區,120.3719,23.2577,True,新營,74,7.72,Normal
臺南市新營區新橋國民小學,臺南市新營區,120.2684,23.2649,False,新營,74,6.74,Warning
臺南市東山區水雲活動中心,臺南市東山區,120.4183,23.2667,True,新營,74,11.19,Normal
臺南市柳營區柳營國小運動場,臺南市柳營區,120.310478,23.266707,True,新營,74,4.38,Normal
臺南市鹽水區竹埔國小,臺南市鹽水區,120.2462,23.267,True,新營,74,8.43,Normal
東里社區活動中心,花蓮縣富里鄉,121.3052,23.2673,True,關山,24,28.72,Normal
臺南市北門區永隆宮,臺南市北門區,120.1238,23.2694,True,新營,74,20.16,Normal
臺南市北門區老人文康活動中心,臺南市北門區,120.1213,23.2707,True,新營,74,20.39,Normal
臺南市新營區新生國民小學,臺南市新營區,120.2589,23.2752,False,新營,74,6.85,Warning
臺南市東山區南溪活動中心,臺南市東山區,120.399,23.2754,True,新營,74,9.0,Normal
南竹湖社活動中心,臺東縣長濱鄉,121.421409,23.275404,True,關山,24,36.87,Normal
長良社區活動中心,花蓮縣玉里鎮,121.2878,23.2768,True,關山,24,28.8,Normal
臺南市柳營區圖書館,臺南市柳營區,120.3124,23.2773,False,新營,74,3.19,Warning
臺南市柳營區公所,臺南市柳營區,120.3124,23.2773,True,新營,74,3.19,Normal
臺南市柳營區柳營聯合活動中心,臺南市柳營區,120.3178,23.2775,True,新營,74,3.13,Normal
臺南市柳營區聯合活動中心廣場,臺南市柳營區,120.3178,23.2775,False,新營,74,3.13,Warning
清水社區活動中心,花蓮縣卓溪鄉,121.2725,23.2775,True,關山,24,28.21,Normal
吳江社區活動中心,花蓮縣富里鄉,121.3227,23.2787,True,關山,24,30.74,Normal
臺南市東山區青山活動中心,臺南市東山區,120.4682,23.279,True,新營,74,15.7,Normal
臺南市柳營區柳營國中運動場,臺南市柳營區,120.3315,23.2794,True,新營,74,3.26,Normal
臺南市東山區高原活動中心,臺南市東山區,120.4703,23.2808,True,新營,74,15.87,Normal
竹湖活動中心,臺東縣長濱鄉,121.4262,23.282134,True,關山,24,37.74,Normal
臺南市東山區東原老人活動中心,臺南市東山區,120.4397,23.2828,True,新營,74,12.76,Normal
臺南市柳營區重溪國小運動場,臺南市柳營區,120.3641,23.2859,True,新營,74,5.26,Normal
臺南市北門區保安宮,臺南市北門區,120.1362,23.2862,True,新營,74,18.62,Normal
臺南市北門區南鯤鯓代天府,臺南市北門區,120.1434,23.2863,True,新營,74,17.88,Normal
臺南市新營區新興國民小學,臺南市新營區,120.2761,23.2867,False,新營,74,4.7,Warning
斑芝花高爾夫俱樂部,臺南市東山區,120.44937,23.28672,True,新營,74,13.66,Normal
臺南市柳營區小腳腿多功活動中心廣場,臺南市柳營區,120.368,23.2902,False,新營,74,5.46,Warning
臺南市柳營區小腳腿多功活動中心,臺南市柳營區,120.368,23.2902,True,新營,74,5.46,Normal
臺南市柳營區太康國小運動場,臺南市柳營區,120.3294,23.2904,True,新營,74,2.1,Normal
臺南市新營區太子國民中學,臺南市新營區,120.2721,23.2913,False,新營,74,4.88,Warning
臺南市鹽水區歡雅國小,臺南市鹽水區,120.2434,23.2923,True,新營,74,7.69,Normal
大埔國中小國中室內,嘉義縣大埔鄉,120.591,23.2933,True,嘉義,86,24.44,Normal
大埔國中小國中室外,嘉義縣大埔鄉,120.591,23.2933,True,嘉義,86,24.44,Normal
大埔國中小坪林分校-室內,嘉義縣大埔鄉,120.5857,23.2934,True,嘉義,86,24.09,Normal
茄苳活動中心,嘉義縣大埔鄉,120.5902,23.2938,True,嘉義,86,24.34,Normal
大埔國中小國小室內,嘉義縣大埔鄉,120.5917,23.2944,True,嘉義,86,24.39,Normal
大埔國中小國小室外,嘉義縣大埔鄉,120.5917,23.2944,True,嘉義,86,24.39,Normal
臺南市東山區東河活動中心,臺南市東山區,120.3857,23.2945,True,新營,74,7.1,Normal
大埔圖書館,嘉義縣大埔鄉,120.5932,23.2949,True,嘉義,86,24.44,Normal
臺南市新營區太子爺廟香客大樓,臺南市新營區,120.2743,23.2955,False,新營,74,4.53,Warning
卓樂社區活動中心,花蓮縣卓溪鄉,121.2703,23.2956,True,關山,24,29.98,Normal
永福社區活動中心,臺東縣長濱鄉,121.434067,23.296186,True,關山,24,39.41,Normal
茶山國小室內,嘉義縣阿里山鄉,120.666773,23.298248,True,嘉義,86,29.54,Normal
大埔零售公有市場,嘉義縣大埔鄉,120.5938,23.2986,True,嘉義,86,24.16,Normal
臺南市新營區南梓國民小學,臺南市新營區,120.298,23.299,False,新營,74,2.1,Warning
北極殿,嘉義縣大埔鄉,120.5942,23.2991,True,嘉義,86,24.15,Normal
臺南市鹽水區仁光國小,臺南市鹽水區,120.25746,23.299369,True,新營,74,6.15,Normal
臺南市新營區公誠國民小學,臺南市新營區,120.3189,23.3036,False,新營,74,0.28,Warning
臺南市新營區新民國民小學,臺南市新營區,120.3063,23.3052,False,新營,74,1.12,Warning
臺南市新營區新營國民小學,臺南市新營區,120.3165,23.3062,False,新營,74,0.1,Warning
過路國小-室內,嘉義縣義竹鄉,120.2082,23.3064,True,新營,74,11.14,Normal
過路國小-室外,嘉義縣義竹鄉,120.2082,23.3064,True,新營,74,11.14,Normal
和順國小-室外,嘉義縣義竹鄉,120.1817,23.3067,True,新營,74,13.84,Normal
田組真耶穌教會,臺東縣長濱鄉,121.440989,23.307393,True,關山,24,40.8,Normal
臺南市新營區大宏王公社區活動中心,臺南市新營區,120.3181,23.3085,True,新營,74,0.33,Normal
臺南市新營區南新國民中學,臺南市新營區,120.3088,23.3092,False,新營,74,0.95,Warning
河東國小六溪分校,臺南市白河區,120.4595,23.3092,True,新營,74,14.53,Normal
