sitename,county,aqi,distance_from_taipei_km,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
古亭,臺北市,44,3.28,25.020608,121.529556,,良好,1.2,0.3,23,19,21,10,15,19.3,3.4,1.3,248,2026/03/02 15:00:00,0.4,11,21,1,14
松山,臺北市,52,6.21,25.05,121.578611,細懸浮微粒,普通,1.7,0.35,19,16,27,15,19,26,7,1.4,289,2026/03/02 15:00:00,0.4,12.9,21,1,15
大同,臺北市,55,1.76,25.06331455,121.51342074,二氧化氮,普通,0.8,0.78,12,10,23,13,28,45.8,17.8,-,-,2026/03/02 15:00:00,1.2,11.9,17,0,16
桃園,桃園市,40,22.16,24.9947107,121.30500531,,良好,0.1,0.21,28,20,17,7,9,10.1,1.1,1.5,285,2026/03/02 15:00:00,0.3,9.8,18,0,17
大園,桃園市,42,31.71,25.06100357,121.20251473,,良好,0.6,0.17,32,21,13,7,4,6.8,2.4,2.4,268,2026/03/02 15:00:00,0.2,8.5,25,1,18
觀音,桃園市,26,43.76,25.03556747,121.08283092,,良好,0.4,0.22,33,25,8,5,8,10.6,2.2,3.2,229,2026/03/02 15:00:00,0.2,6.5,10,0,19
平鎮,桃園市,40,33.27,24.952786,121.203986,,良好,0.3,0.19,29,21,20,8,6,8.8,2.1,1.7,280,2026/03/02 15:00:00,0.3,10,16,0,20
龍潭,桃園市,44,36.55,24.86400048,121.21645772,,良好,1.4,0.18,33,25,16,11,4,7.3,2.5,3.4,248,2026/03/02 15:00:00,0.2,10.8,17,0,21
湖口,新竹縣,25,50.92,24.90009696,121.03886894,,良好,,,,25,5,,,,,2.6,248,2026/03/02 15:00:00,0.2,6.2,13,0,22
竹東,新竹縣,38,55.03,24.74091408,121.08895493,,良好,1,0.17,37,23,10,6,5,6.1,0.9,1.5,281,2026/03/02 15:00:00,0.2,9.5,15,0,23
